"AP Number","Sex","Education Level","Award Type 01","Award Type 02","Award Type 03","Award Type 04","Award Type 05","Award Type 06","Award Type 07","Award Type 08","AI Street Address 1","AI Street Address 2","AI Street Address 3","AI State","AI Zip Code","Race","AI Code","AI Institution Name","RACE_ETH_","DISTRICT NAME","Exam Code 01","Exam Grade 01","Admin Year 01","Award Year 01","Exam Code 02","Exam Grade 02","Admin Year 02","Award Year 02","Exam Code 03","Exam Grade 03","Admin Year 03","Award Year 03","Exam Code 04","Exam Grade 04","Admin Year 04","Award Year 04","Exam Code 05","Exam Grade 05","Admin Year 05","Award Year 05","Exam Code 06","Exam Grade 06","Admin Year 06","Award Year 06","Exam Code 07","Exam Grade 07","Admin Year 07","Award Year 07","Exam Code 08","Exam Grade 08","Admin Year 08","Award Year 08"
"2668","F","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"MULTIETHNIC","14","Hapeville Career Academy","MULTIETHNIC","AIUR","07",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4943","M","6","None",NA,NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","37",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0111","M","6","None","None",NA,NA,NA,NA,NA,NA,"10795 Rogers Circle",NA,"Duluth","GA",30097,"WHITE","20","River Trail Middle School","WHITE","AIUR","83",5,11,11,"20",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0751","F","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"AFRICANAMERICAN","14","Hapeville Career Academy","AFRICANAMERICAN","AIUR","07",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0394","M","6","None",NA,NA,NA,NA,NA,NA,NA,"6015 Feldwood Road",NA,"College Park","GA",30349,"WHITE","15","Banneker High School","WHITE","AIUR","37",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0231","F","6","None",NA,NA,NA,NA,NA,NA,NA,"6015 Feldwood Road",NA,"College Park","GA",30349,"AFRICANAMERICAN","15","Banneker High School","AFRICANAMERICAN","AIUR","25",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0653","F","6","None",NA,NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"ASIAN","09","Chattahoochee High School","ASIAN","AIUR","93",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3744","F","6","None",NA,NA,NA,NA,NA,NA,NA,"9310 Scott Road",NA,"Roswell","GA",30076,"WHITE","18","Centennial High School","WHITE","AIUR","16",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4480","F","6","None","None",NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"CUBAN","14","Hapeville Career Academy","CUBAN","AIUR","93",1,11,11,"25",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2631","F","6","None",NA,NA,NA,NA,NA,NA,NA,"2400 Union Road Southwest",NA,"Atlanta","GA",30331,"ASIAN","01","Westlake High School","ASIAN","AIUR","37",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1859","M","6","None",NA,NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","25",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1849","M","6","None","None",NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"PUERTORICAN","14","Hapeville Career Academy","PUERTORICAN","AIUR","87",3,11,11,"75",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3671","M","6","None",NA,NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"AFRICANAMERICAN","05","Independence High School","AFRICANAMERICAN","AIUR","83",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0352","M","6","None",NA,NA,NA,NA,NA,NA,NA,"10795 Rogers Circle",NA,"Duluth","GA",30097,"WHITE","20","River Trail Middle School","WHITE","AIUR","07",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2117","M","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"WHITE","14","Hapeville Career Academy","WHITE","AIUR","07",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2400","M","6","None",NA,NA,NA,NA,NA,NA,NA,"7447 Roswell Road Northeast",NA,"Sandy Springs","GA",30328,"AFRICANAMERICAN","16","North Springs Charter High Sch","AFRICANAMERICAN","AIUR","07",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1591","M","6","None",NA,NA,NA,NA,NA,NA,NA,"7405 Herndon Road",NA,"Fairburn","GA",30213,"WHITE","02","Creekside High School","WHITE","AIUR","93",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1646","F","6","None",NA,NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"HISP_LAT","09","Chattahoochee High School","HISP_LAT","AIUR","87",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0465","F","6","None","None",NA,NA,NA,NA,NA,NA,"10795 Rogers Circle",NA,"Duluth","GA",30097,"WHITE","20","River Trail Middle School","WHITE","AIUR","57",2,11,11,"90",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4017","F","6","None","None","None",NA,NA,NA,NA,NA,"5575 State Bridge Road",NA,"Johns Creek","GA",30022,"CUBAN","12","Johns Creek High School","CUBAN","AIUR","93",3,11,11,"89",1,11,11,"64",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0364","F","6","None","None",NA,NA,NA,NA,NA,NA,"7447 Roswell Road Northeast",NA,"Sandy Springs","GA",30328,"WHITE","16","North Springs Charter High Sch","WHITE","AIUR","84",4,11,11,"83",3,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2582","M","6","None",NA,NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","20",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1437","M","6","None",NA,NA,NA,NA,NA,NA,NA,"2845 Bethany Bend",NA,"Milton","GA",30004,"WHITE","06","Cambridge High School","WHITE","AIUR","13",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0135","M","6","None","None",NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"NON_HISP_LAT","05","Independence High School","NON_HISP_LAT","AIUR","07",1,11,11,"60",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3750","F","6","None",NA,NA,NA,NA,NA,NA,NA,"6015 Feldwood Road",NA,"College Park","GA",30349,"AFRICANAMERICAN","15","Banneker High School","AFRICANAMERICAN","AIUR","87",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3030","F","6","None",NA,NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"WHITE","05","Independence High School","WHITE","AIUR","57",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4810","F","6","None",NA,NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"WHITE","05","Independence High School","WHITE","AIUR","07",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0389","F","6","None","None",NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"HISP_LAT","05","Independence High School","HISP_LAT","AIUR","75",2,11,11,"83",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3304","M","6","None",NA,NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"NON_HISP_LAT","05","Independence High School","NON_HISP_LAT","AIUR","07",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3207","F","6","None",NA,NA,NA,NA,NA,NA,NA,"5575 State Bridge Road",NA,"Johns Creek","GA",30022,"AFRICANAMERICAN","12","Johns Creek High School","AFRICANAMERICAN","AIUR","90",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3013","F","6","None","None",NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"MEXICAN","14","Hapeville Career Academy","MEXICAN","AIUR","87",1,11,11,"87",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4867","F","6","None",NA,NA,NA,NA,NA,NA,NA,"7510 Hall Road",NA,"Fairburn","GA",30213,"WHITE","13","Langston Hughes High School","WHITE","AIUR","83",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3348","F","6","None",NA,NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","20",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4996","M","6","None",NA,NA,NA,NA,NA,NA,NA,"6015 Feldwood Road",NA,"College Park","GA",30349,"ASIAN","15","Banneker High School","ASIAN","AIUR","36",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2476","M","6","None","None",NA,NA,NA,NA,NA,NA,"3605 Main Street",NA,"College Park","GA",30337,"INDIAN_ALASKAN","08","Frank McClarin High School","INDIAN_ALASKAN","AIUR","07",5,11,11,"07",3,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4109","M","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"PUERTORICAN","14","Hapeville Career Academy","PUERTORICAN","AIUR","75",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1047","F","6","None","None","None",NA,NA,NA,NA,NA,"10795 Rogers Circle",NA,"Duluth","GA",30097,"WHITE","20","River Trail Middle School","WHITE","AIUR","66",2,11,11,"25",2,11,11,"20",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4098","M","6","None",NA,NA,NA,NA,NA,NA,NA,"2400 Union Road Southwest",NA,"Atlanta","GA",30331,"MEXICAN","01","Westlake High School","MEXICAN","AIUR","43",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3173","M","6","None","None",NA,NA,NA,NA,NA,NA,"5575 State Bridge Road",NA,"Johns Creek","GA",30022,"AFRICANAMERICAN","12","Johns Creek High School","AFRICANAMERICAN","AIUR","25",5,11,11,"35",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2212","F","6","None","None","None",NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"WHITE","14","Hapeville Career Academy","WHITE","AIUR","34",1,11,11,"90",1,11,11,"87",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3248","F","6","None",NA,NA,NA,NA,NA,NA,NA,"5575 State Bridge Road",NA,"Johns Creek","GA",30022,"WHITE","12","Johns Creek High School","WHITE","AIUR","93",1,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3853","M","6","None","None",NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"WHITE","09","Chattahoochee High School","WHITE","AIUR","66",5,11,11,"13",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3354","M","6","None","None",NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","36",4,11,11,"66",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3454","M","6","None",NA,NA,NA,NA,NA,NA,NA,"10795 Rogers Circle",NA,"Duluth","GA",30097,"WHITE","20","River Trail Middle School","WHITE","AIUR","87",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1688","F","6","None",NA,NA,NA,NA,NA,NA,NA,"3605 Main Street",NA,"College Park","GA",30337,"WHITE","08","Frank McClarin High School","WHITE","AIUR","66",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4497","F","6","None",NA,NA,NA,NA,NA,NA,NA,"7405 Herndon Road",NA,"Fairburn","GA",30213,"WHITE","02","Creekside High School","WHITE","AIUR","37",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4061","F","6","None","None",NA,NA,NA,NA,NA,NA,"11595 King Road",NA,"Roswell","GA",30075,"NON_HISP_LAT","03","Roswell High School","NON_HISP_LAT","AIUR","90",5,11,11,"36",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1772","F","6","None","None",NA,NA,NA,NA,NA,NA,"5575 State Bridge Road",NA,"Johns Creek","GA",30022,"WHITE","12","Johns Creek High School","WHITE","AIUR","87",4,11,11,"34",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4813","M","6","None",NA,NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"WHITE","09","Chattahoochee High School","WHITE","AIUR","83",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4291","F","6","None",NA,NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","37",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4384","M","6","None",NA,NA,NA,NA,NA,NA,NA,"2400 Union Road Southwest",NA,"Atlanta","GA",30331,"WHITE","01","Westlake High School","WHITE","AIUR","75",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1223","M","6","None",NA,NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"MULTIETHNIC","09","Chattahoochee High School","MULTIETHNIC","AIUR","07",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3092","M","6","None","None",NA,NA,NA,NA,NA,NA,"12805 Birmingham Highway",NA,"Alpharetta","GA",30004,"WHITE","11","Northwestern Middle School","WHITE","AIUR","07",4,11,11,"40",4,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2860","M","6","None",NA,NA,NA,NA,NA,NA,NA,"6045 Buffington Road",NA,"Atlanta","GA",30349,"HAWAIIAN_PI","14","Hapeville Career Academy","HAWAIIAN_PI","AIUR","51",5,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3837","F","6","None",NA,NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"AFRICANAMERICAN","09","Chattahoochee High School","AFRICANAMERICAN","AIUR","53",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2425","F","6","None",NA,NA,NA,NA,NA,NA,NA,"3595 Webb Bridge Road",NA,"Alpharetta","GA",30005,"WHITE","07","Alpharetta High School","WHITE","AIUR","20",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2962","M","6","None",NA,NA,NA,NA,NA,NA,NA,"7405 Herndon Road",NA,"Fairburn","GA",30213,"WHITE","02","Creekside High School","WHITE","AIUR","93",2,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1951","F","6","None",NA,NA,NA,NA,NA,NA,NA,"86 School Drive",NA,"Alpharetta","GA",30009,"WHITE","05","Independence High School","WHITE","AIUR","36",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3193","M","6","None",NA,NA,NA,NA,NA,NA,NA,"3595 Webb Bridge Road",NA,"Alpharetta","GA",30005,"AFRICANAMERICAN","07","Alpharetta High School","AFRICANAMERICAN","AIUR","93",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4133","M","6","None",NA,NA,NA,NA,NA,NA,NA,"9310 Scott Road",NA,"Roswell","GA",30076,"WHITE","18","Centennial High School","WHITE","AIUR","25",3,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2616","M","6","None",NA,NA,NA,NA,NA,NA,NA,"5230 Taylor Road",NA,"Alpharetta","GA",30022,"MULTIETHNIC","09","Chattahoochee High School","MULTIETHNIC","AIUR","43",4,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
